,Gauss Iterations,Gauss Time,Gauss accelerated iterations,Gauss accelerated time,Jacobi Time,Jacobi accelerated iterations,Jacobi accelerated time,Jacobi itterations
0,26,0.023012161254882812,26,0.012981414794921875,0.031002044677734375,46,0.031002044677734375,46
1,53,0.06804776191711426,53,0.023036718368530273,0.11208200454711914,93,0.11208200454711914,93
2,88,0.2441713809967041,88,0.05200982093811035,0.2661902904510498,155,0.2661902904510498,155
3,130,0.5984294414520264,130,0.05103754997253418,0.570404052734375,229,0.570404052734375,229
4,180,2.2185702323913574,179,0.09507465362548828,0.8816425800323486,315,0.8816425800323486,315
5,236,2.617915630340576,236,0.15610408782958984,3.721630811691284,413,3.721630811691284,413
6,299,1.9854202270507812,299,0.13512468338012695,5.976742267608643,523,5.976742267608643,523
7,369,4.484171152114868,369,0.17411446571350098,7.312180995941162,643,7.312180995941162,643
8,445,9.082446098327637,445,0.24217796325683594,13.182475566864014,773,13.182475566864014,773
9,527,8.880584239959717,527,0.28220319747924805,16.348603010177612,913,16.348603010177612,913
10,615,13.446544408798218,615,0.3462646007537842,24.260645151138306,1063,24.260645151138306,1063
11,709,22.194040775299072,709,0.3742852210998535,33.484917879104614,1223,33.484917879104614,1223
12,809,25.541454792022705,809,0.46538257598876953,41.68130087852478,1391,41.68130087852478,1391
13,914,35.80865240097046,914,0.5363826751708984,59.15270161628723,1569,59.15270161628723,1569
14,1025,45.313626527786255,1025,0.5874145030975342,71.30586552619934,1755,71.30586552619934,1755
15,1141,57.54778981208801,1141,0.7415227890014648,81.30997681617737,1951,81.30997681617737,1951
16,1262,71.898357629776,1262,0.8165795803070068,106.68736577033997,2153,106.68736577033997,2153
17,1389,87.63484811782837,1389,0.9316697120666504,123.31830382347107,2365,123.31830382347107,2365
